Time,OA Drybulb (F),OA Wetbulb (F),OA Dewpoint (F),Condenser Water Temp (F),Chilled Water Temp (F),Opt 1x750 2x1250 CH1 Load (Btu),Opt 1x7502x1250 CH2 Load (Btu),Opt 1x750 2x1250 CH3 Load (Btu),Opt 1x750 2x1250 CH1 PLR,Opt 1x750 2x1250 CH2 PLR,Opt 1x750 2x1250 CH3 PLR,Opt 1x750 2x1250 CH1 kW/Ton,Opt 1x750 2x1250 CH2 kW/Ton,Opt 1x750 2x1250 CH3 kW/Ton,Opt 1x750 2x1250 CH1 kW,Opt 1x750 2x1250 CH2 kW,Opt 1x750 2x1250 CH3 kW,Opt 1x750 2x1250 Total Plant Load (Btu),Opt 1x750 2x1250 Total Plant kW,Opt 1x750 2x1250 Total Plant kW/Ton,Opt 3x1000 CH1 Load (Btu),Opt 3x1000 CH2 Load (Btu),Opt 3x1000 CH3 Load (Btu),Opt 3x1000 CH1 PLR,Opt 3x1000 CH2 PLR,Opt 3x1000 CH3 PLR,Opt 3x1000 CH1 kW/Ton,Opt 3x1000 CH2 kW/Ton,Opt 3x1000 CH3 kW/Ton,Opt 3x1000 CH1 kW,Opt 3x1000 CH2 kw,Opt 3x1000 CH3 kW,Opt 3x1000 Total Plant Load (Btu),Opt 3x1000 Total Plant kW,Opt 3x1000 Total Plant kW/Ton,Opt 3x1000 Mag CH1 Load (Btu),Opt 3x1000 Mag CH2 Load (Btu),Opt 3x1000 Mag CH3 Load (Btu),Opt 3x1000 Mag CH1 PLR,Opt 3x1000 Mag CH2 PLR,Opt 3x1000 Mag CH3 PLR,Opt 3x1000 Mag CH1 kW/Ton,Opt 3x1000 Mag CH2 kW/Ton,Opt 3x1000 Mag CH3 kW/Ton,Opt 3x1000 Mag CH1 kW,Opt 3x1000 Mag CH2 kW,Opt 3x1000 Mag CH3 kW,Opt 3x1000 Mag Total Plant Load (Btu),Opt 3x1000 Mag Total Plant kW,Opt 3x1000 Mag Total Plant kW/Ton,Opt Ice CH2 Load (Btu),Opt Ice CH3 Load (Btu),Opt Ice CH1 Load (Btu),Opt Ice Ice CH Load (Btu),Opt Ice CH2 PLR,Opt Ice CH3 PLR,Opt Ice CH1 PLR,Opt Ice Ice CHPLR,Opt Ice CH1 kW/Ton,Opt Ice CH2 kW/Ton,Opt Ice CH3 kW/Ton,Opt Ice CH1 kW,Opt Ice CH2 kW,Opt Ice CH3 kW,Opt Ice Ice CH Load (Btu),Opt Ice Ice CH PLR,Opt Ice Ice CH kW,Opt Ice Tank Charge Load (Btu),Opt Ice Tank Discharge Load (Btu),Opt Ice Tank Available Capacity,Opt Ice kW/Ton,Opt Ice Total Plant Load (Btu),Opt Ice Total Plant kW,Opt Ice Total Plant kW/Ton
1/1/2019 11:00,35,30,20.6021,44.6751,47.1891,0,0,0,0,0,0,0.251587219,0.185861457,0.185861457,0,0,0,0,48.60852,0,0,0,0,0,0,0,0.201528675,0.201528675,0.201528675,0,0,0,0,48.6046,0,0,0,0,0,0,0,0.269192025,0.269192025,0.269192025,0,0,0,0,48.6046,0,0,0,0,0,0,0,0,0,0.201528675,0.201528675,0.201528675,0,0,0,0,0,0,0,0,0,0,0,48.59282,0
1/1/2019 12:00,36,31,22.4174,44.6778,47.1918,0,0,0,0,0,0,0.25159468,0.185869009,0.185869009,0,0,0,0,49.14282,0,0,0,0,0,0,0,0.201540381,0.201540381,0.201540381,0,0,0,0,49.13893,0,0,0,0,0,0,0,0.269186581,0.269186581,0.269186581,0,0,0,0,49.13893,0,0,0,0,0,0,0,0,0,0.201540381,0.201540381,0.201540381,0,0,0,0,0,0,0,0,0,0,0,49.12701,0
1/1/2019 13:00,39,33,24.0279,44.6758,47.1918,0,0,0,0,0,0,0.251603457,0.185877748,0.185877748,0,0,0,0,49.97159,0,0,0,0,0,0,0,0.201553746,0.201553746,0.201553746,0,0,0,0,49.96774,0,0,0,0,0,0,0,0.269181139,0.269181139,0.269181139,0,0,0,0,49.96774,0,0,0,0,0,0,0,0,0,0.201553746,0.201553746,0.201553746,0,0,0,0,0,0,0,0,0,0,0,49.95577,0
1/1/2019 14:00,40,34,26.3381,44.6805,47.1945,0,0,0,0,0,0,0.251610921,0.185885303,0.185885303,0,0,0,0,50.59516,0,0,0,0,0,0,0,0.201565455,0.201565455,0.201565455,0,0,0,0,50.59121,0,0,0,0,0,0,0,0.269175698,0.269175698,0.269175698,0,0,0,0,50.59121,0,0,0,0,0,0,0,0,0,0.201565455,0.201565455,0.201565455,0,0,0,0,0,0,0,0,0,0,0,50.5792,0
1/1/2019 15:00,40,34,24.0985,44.6785,47.1945,0,0,0,0,0,0,0.251601715,0.185876998,0.185876998,0,0,0,0,50.59664,0,0,0,0,0,0,0,0.201553858,0.201553858,0.201553858,0,0,0,0,50.59278,0,0,0,0,0,0,0,0.269175698,0.269175698,0.269175698,0,0,0,0,50.59278,0,0,0,0,0,0,0,0,0,0.201553858,0.201553858,0.201553858,0,0,0,0,0,0,0,0,0,0,0,50.58062,0
1/1/2019 16:00,38,32,23.2734,44.6785,47.1945,0,0,0,0,0,0,0.251601715,0.185876998,0.185876998,0,0,0,0,49.90142,0,0,0,0,0,0,0,0.201553858,0.201553858,0.201553858,0,0,0,0,49.89744,0,0,0,0,0,0,0,0.269175698,0.269175698,0.269175698,0,0,0,0,49.89744,0,0,0,0,0,0,0,0,0,0.201553858,0.201553858,0.201553858,0,0,0,0,0,0,0,0,0,0,0,49.88523,0
1/1/2019 17:00,35,30,19.6369,44.6785,47.1945,0,0,0,0,0,0,0.251601715,0.185876998,0.185876998,0,0,0,0,49.31959,0,0,0,0,0,0,0,0.201553858,0.201553858,0.201553858,0,0,0,0,49.31559,0,0,0,0,0,0,0,0.269175698,0.269175698,0.269175698,0,0,0,0,49.31559,0,0,0,0,0,0,0,0,0,0.201553858,0.201553858,0.201553858,0,0,0,0,0,0,0,0,0,0,0,49.30324,0
1/1/2019 18:00,34,29,18.6974,44.6832,47.1972,0,0,0,0,0,0,0.251619296,0.185893637,0.185893637,0,0,0,0,49.43783,0,0,0,0,0,0,0,0.201578196,0.201578196,0.201578196,0,0,0,0,49.43373,0,0,0,0,0,0,0,0.26917053,0.26917053,0.26917053,0,0,0,0,49.43373,0,0,0,0,0,0,0,0,0,0.201578196,0.201578196,0.201578196,0,0,0,0,0,0,0,0,0,0,0,49.42121,0
1/1/2019 19:00,34,29,17.6414,44.6766,47.1945,0,0,0,0,0,0,0.251609837,0.185885146,0.185885146,0,0,0,0,49.43928,0,0,0,0,0,0,0,0.201566397,0.201566397,0.201566397,0,0,0,0,49.43517,0,0,0,0,0,0,0,0.269170258,0.269170258,0.269170258,0,0,0,0,49.43517,0,0,0,0,0,0,0,0,0,0.201566397,0.201566397,0.201566397,0,0,0,0,0,0,0,0,0,0,0,49.42259,0
1/1/2019 20:00,34,29,18.6974,44.6832,47.1972,0,0,0,0,0,0,0.251609837,0.185885146,0.185885146,0,0,0,0,49.4392,0,0,0,0,0,0,0,0.201566397,0.201566397,0.201566397,0,0,0,0,49.435,0,0,0,0,0,0,0,0.269170258,0.269170258,0.269170258,0,0,0,0,49.435,0,0,0,0,0,0,0,0,0,0.201566397,0.201566397,0.201566397,0,0,0,0,0,0,0,0,0,0,0,49.42253,0
1/1/2019 21:00,33,27,15.367,44.58,47.1462,0,0,0,0,0,0,0.251112738,0.185417202,0.185417202,0,0,0,0,45.1912,0,0,0,0,0,0,0,0.200884938,0.200884938,0.200884938,0,0,0,0,44.419191,0,0,0,0,0,0,0,0.269300023,0.269300023,0.269300023,0,0,0,0,44.419191,0,0,0,0,0,0,0,0,0,0.200884938,0.200884938,0.200884938,0,0,0,0,0,0,0,0,0,0,0,42.835988,0
1/1/2019 22:00,32,26,11.4478,44.6005,47.1325,0,0,0,0,0,0,0.251252081,0.18553702,0.18553702,0,0,0,0,43.850574,0,0,0,0,0,0,0,0.201044086,0.201044086,0.201044086,0,0,0,0,43.176242,0,0,0,0,0,0,0,0.269338852,0.269338852,0.269338852,0,0,0,0,43.176242,0,0,0,0,0,0,0,0,0,0.201044086,0.201044086,0.201044086,0,0,0,0,0,0,0,0,0,0,0,41.536606,0
1/1/2019 23:00,31,25,10.0352,44.5911,47.1217,0,0,0,0,0,0,0.251205448,0.18549005,0.18549005,0,0,0,0,42.905579,0,0,0,0,0,0,0,0.200971476,0.200971476,0.200971476,0,0,0,0,42.231984,0,0,0,0,0,0,0,0.269371432,0.269371432,0.269371432,0,0,0,0,42.231984,0,0,0,0,0,0,0,0,0,0.200971476,0.200971476,0.200971476,0,0,0,0,0,0,0,0,0,0,0,40.555068,0
1/2/2019 0:00,30,24,10.0352,44.5849,47.1136,0,0,0,0,0,0,0.251196182,0.185478388,0.185478388,0,0,0,0,42.188816,0,0,0,0,0,0,0,0.200950485,0.200950485,0.200950485,0,0,0,0,41.498217,0,0,0,0,0,0,0,0.269393356,0.269393356,0.269393356,0,0,0,0,41.498217,0,0,0,0,0,0,0,0,0,0.200950485,0.200950485,0.200950485,0,0,0,0,0,0,0,0,0,0,0,39.87637,0
1/2/2019 1:00,27,22,6.73595,44.6469,47.1377,0,0,0,0,0,0,0.251578297,0.185834469,0.185834469,0,0,0,0,43.643821,0,0,0,0,0,0,0,0.201464215,0.201464215,0.201464215,0,0,0,0,42.97275,0,0,0,0,0,0,0,0.269317517,0.269317517,0.269317517,0,0,0,0,42.97275,0,0,0,0,0,0,0,0,0,0.201464215,0.201464215,0.201464215,0,0,0,0,0,0,0,0,0,0,0,41.313613,0
1/2/2019 2:00,26,22,8.44835,44.6209,47.1378,0,0,0,0,0,0,0.251363516,0.18564,0.18564,0,0,0,0,43.704389,0,0,0,0,0,0,0,0.201191491,0.201191491,0.201191491,0,0,0,0,43.031731,0,0,0,0,0,0,0,0.269322439,0.269322439,0.269322439,0,0,0,0,43.031731,0,0,0,0,0,0,0,0,0,0.201191491,0.201191491,0.201191491,0,0,0,0,0,0,0,0,0,0,0,41.36857,0
1/2/2019 3:00,25,21,8.5138,44.6151,47.1351,0,0,0,0,0,0,0.251331626,0.185609587,0.185609587,0,0,0,0,43.344055,0,0,0,0,0,0,0,0.20114666,0.20114666,0.20114666,0,0,0,0,42.634626,0,0,0,0,0,0,0,0.26933338,0.26933338,0.26933338,0,0,0,0,42.634626,0,0,0,0,0,0,0,0,0,0.20114666,0.20114666,0.20114666,0,0,0,0,0,0,0,0,0,0,0,41.026819,0
1/2/2019 4:00,24,20,6.80088,44.6123,47.1324,0,0,0,0,0,0,0.251336677,0.185613317,0.185613317,0,0,0,0,43.094948,0,0,0,0,0,0,0,0.201150702,0.201150702,0.201150702,0,0,0,0,42.423807,0,0,0,0,0,0,0,0.269338852,0.269338852,0.269338852,0,0,0,0,42.423807,0,0,0,0,0,0,0,0,0,0.201150702,0.201150702,0.201150702,0,0,0,0,0,0,0,0,0,0,0,40.764524,0
